ID,URL,labels
46,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/16397674_14805057830_r.jpg,person  ﻿face style  face  boy  face  gentleman child suit smile
47,https://d2g8igdw686xgo.cloudfront.net/32288382_1534833165233623_r.jpeg,text font graphic design design brand graphics logo illustration computer wallpaper
48,https://d2g8igdw686xgo.cloudfront.net/24529532_1507575613.1371.jpg,fauna grass reptile organism branch tree wildlife grass family plant
49,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/10249297_1459272160.1452.jpg,dog breed dog snout dog like mammal
50,https://d2g8igdw686xgo.cloudfront.net/26369056_15137304560_r.jpeg, face  beauty  face  human  ﻿face  color  face   face   ﻿face style  face   face  girl
51,https://d2g8igdw686xgo.cloudfront.net/29975606_15266521000_r.jpeg,face yellow person  face  selfie  face   face   face  mouth girl
52,https://d2g8igdw686xgo.cloudfront.net/26646838_1514907045.9337.jpg,motor vehicle  vehicle  mode of transport vehicle automotive exterior traffic collision bumper family  vehicle  luxury vehicle mid size  vehicle 
53,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/18469768_14882130870_r.jpg, vehicle  vehicle motor vehicle automotive exterior city  vehicle  family  vehicle  product sedan compact  vehicle  mid size  vehicle 
54,https://d2g8igdw686xgo.cloudfront.net/30907666_1530113867926066_r.jpeg,dog dog breed dog like mammal advertising snout photo caption font leash brand product
55,https://d2g8igdw686xgo.cloudfront.net/19039442_1490035283.1273.jpg,social group community youth team recreation team sport sports sport venue fun race
56,https://d2g8igdw686xgo.cloudfront.net/19772890_1492633167.6036.jpg,text  vehicle toon font structure drawing art diagram design line area
57,https://d2g8igdw686xgo.cloudfront.net/34114580_1540909543804501_r.jpeg,red orange text font product line graphics logo graphic design computer wallpaper
58,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/6291466_1444436792.1938.jpg, ﻿face   face  expression fashion accessory smile girl product tree
59,https://d2g8igdw686xgo.cloudfront.net/34132684_1540957446280267_r.jpeg,pink text font product product logo line drinkware area brand
60,https://d2g8igdw686xgo.cloudfront.net/22123236_1499605161.4217.jpg,entertainment stage concert musician purple music rock concert performance guitarist event
61,https://d2g8igdw686xgo.cloudfront.net/30257530_15277125820_r.jpeg, ﻿face  human  ﻿face  color  ﻿face style long  ﻿face   ﻿face  coloring brown  ﻿face   vehicle amel color girl layered  ﻿face  step cutting
62,https://d2g8igdw686xgo.cloudfront.net/29103670_15263686100_r.jpg,air sports parachute parachuting paragliding windsports sky extreme sport paratrooper adventure tandem skydiving
63,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/860695_1387259269.3463.jpg,person human girl product fun performance
64,https://d2g8igdw686xgo.cloudfront.net/34618236_1542462906458419_r.jpeg,blue text red font line logo area c face  art product signage
65,https://d2g8igdw686xgo.cloudfront.net/17995320_1486237960.0298.jpg,
66,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1401427_1402995106.2026.jpg,text font product advertising banner line area product material brand
67,https://d2g8igdw686xgo.cloudfront.net/26065932_1512935785.712.jpg, ﻿face   glasses  purple glasses  ﻿face style vision  vehicle e black  ﻿face  girl  ﻿face  coloring brown  ﻿face 
68,https://d2g8igdw686xgo.cloudfront.net/28134008_1521229014.3545.jpg,text font product product brand
69,https://d2g8igdw686xgo.cloudfront.net/18753154_1488991965.9311.jpg,basketball moves basketball player sport venue basketball team sport sports games slam dunk tournament player
70,https://d2g8igdw686xgo.cloudfront.net/28868856_1527837341.8474.jpg,blue text font product logo line area brand graphics product
71,https://d2g8igdw686xgo.cloudfront.net/27880940_15191573170_r.jpeg,mountainous landforms mountain ridge sky arête mountain range highland fell rock geological phenomenon
72,https://d2g8igdw686xgo.cloudfront.net/30966976_1530305448316214_r.jpeg,suit formal wear gentleman tuxedo
73,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1932327_1407819717.6389.jpg, face   face gear military person military officer product cap military non commissioned officer soldier official
74,https://d2g8igdw686xgo.cloudfront.net/18586040_1488437571.8678.jpg, ﻿face  human  ﻿face  color  ﻿face style  face   face  layered  ﻿face  black  ﻿face  long  ﻿face   ﻿face  coloring brown  ﻿face 
75,https://d2g8igdw686xgo.cloudfront.net/20049806_1494179350.5016.jpg,green night text signage sky font advertising electronic signage display device street sign
76,https://d2g8igdw686xgo.cloudfront.net/33454406_1538576628513139_r.jpeg,swimming swimmer leisure medley swimming freestyle swimming sports water water sport endurance sports fun
77,https://d2g8igdw686xgo.cloudfront.net/25599024_15116263810_r.jpg,yellow text font logo line diagram graphic design brand material graphics
78,https://d2g8igdw686xgo.cloudfront.net/34546396_1542289386583373_r.jpeg, vehicle  vehicle photography motor vehicle smile girl automotive design family  vehicle  luxury vehicle audio equipment
79,https://d2g8igdw686xgo.cloudfront.net/30322408_15279503960_r.jpeg,winery wine cellar
80,https://d2g8igdw686xgo.cloudfront.net/28044092_15198121860_r.jpg,advertising fan crowd product banner competition event championship brand
81,https://d2g8igdw686xgo.cloudfront.net/27924148_1519306763.0538.jpg,wall tree wood building sky facade recreation public utility
82,https://d2g8igdw686xgo.cloudfront.net/33757844_1539617642733078_r.jpeg,advertising display advertising banner display device font brand
83,https://d2g8igdw686xgo.cloudfront.net/28248062_15205100020_r.jpeg,land vehicle bicycle cycling road bicycle vehicle black and white mode of transport sports equipment bicycle accessory snapshot
84,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/19084594_14902260210_r.jpg,photograph face text  face  expression black and white  face  child infant  face   face 
85,https://d2g8igdw686xgo.cloudfront.net/32404002_1535136845279102_r.jpeg,people sitting man day plant fun male emotion grass vacation
86,https://d2g8igdw686xgo.cloudfront.net/19934530_1493181162.3778.jpg, ﻿face  people face woman social group  face  expression blond human  ﻿face  color friendship beauty
87,https://d2g8igdw686xgo.cloudfront.net/28461144_15213035490_r.jpeg, ﻿face  human  ﻿face  color day  face  product fun  face  smile blond girl
88,https://d2g8igdw686xgo.cloudfront.net/22550100_1501075009.7391.jpg,property real estate leisure roof hacienda house
89,https://d2g8igdw686xgo.cloudfront.net/30161380_15273344740_r.jpeg,text font logo black and white line recreation label tree graphics brand
90,https://d2g8igdw686xgo.cloudfront.net/25446490_1510933277.2741.jpg,people red child day public space community youth tree  vehicle  fun
91,https://d2g8igdw686xgo.cloudfront.net/23609612_1504555034.3145.jpg,sports team sport team sport venue competition volleyball ball game ball over a net games
92,https://d2g8igdw686xgo.cloudfront.net/21089180_1497118731.6661.jpg, ﻿face  face woman person  face  lady  face  smile  face  fun
93,https://d2g8igdw686xgo.cloudfront.net/27745450_15186381800_r.jpg, ﻿face  face pink  face  skin human  ﻿face  color  face   ﻿face style  face   face 
94,https://d2g8igdw686xgo.cloudfront.net/30114708_15271481640_r.jpeg,eating junk food food fast food product cuisine
95,https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/7083841_1448068363.5952.jpg,person  face  expression man  face   face   face   face   ﻿face  moustache smile  face 
96,https://d2g8igdw686xgo.cloudfront.net/34304428_1541604955629581_r.jpeg,team team sport sports sport venue grass tournament player rugby union fun football player
97,https://d2g8igdw686xgo.cloudfront.net/27562660_1518014011.1783.jpg, face   face   face   face   ﻿face   face   face  neck jaw ear beard
98,https://d2g8igdw686xgo.cloudfront.net/31527338_1532246422618550_r.jpeg,t shirt community fun product girl smile recreation
