web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image labels,REPLACED_LABELS,"Team, sport, group activities","Enviromental attributes (recreational, fun, activities)","Product, brand attributes","Face, Skin, human expressions",goal,Raised,people,time,updates,updates-href,createdby,today,days,shares,people
1543705618-356,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/mason039s-xbox-one-x-charity-fund,https://d2g8igdw686xgo.cloudfront.net/34805378_1543078144449967_r.jpeg,eyewear sunglasses glasses vision care cool fun smile, glasses  sunglasses glasses vision  vehicle e cool fun  people ,0.011904762,0.011904762,0.011904762,0.964285714,1000,62,8,Raised by 8 people in 7 days,0,,24-Nov-18,5-Dec-18,10,28,1
1543706943-845,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/sophia-is-cutting-12-inches-of-hair-for-charity,https://d2g8igdw686xgo.cloudfront.net/34801950_1543065572871387_r.jpeg,shoulder girl standing smile outerwear fun child,shoulder  people  standing  people  outerwear fun  people ,0.009615385,0.971153846,0.009615385,0.009615385,381,404,22,Raised by 22 people in 7 days,0,,24-Nov-18,5-Dec-18,10,182,1
1543707264-962,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/scc-small-charities-coalition,https://d2g8igdw686xgo.cloudfront.net/34758468_1542881008247974_r.jpeg,text product line font product graphic design pattern brand graphics,text product line font product graphic design pattern brand graphics,0.00877193,0.00877193,0.973684211,0.00877193,12700,3200,31,Raised by 31 people in 9 days,0,,22-Nov-18,5-Dec-18,12,87,0
1543704662-60,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/hrtnbz-nwa-manvaasanais-cyclone-gaja-relief-effort,https://d2g8igdw686xgo.cloudfront.net/34766556_154291524766907_r.jpeg,vegetation tree plant arecales palm tree date palm grass family coconut elaeis tropics,vegetation tree plant arecales palm tree date palm grass  people  coconut elaeis tropics,0.008064516,0.008064516,0.330645161,0.653225806,20000,956,16,Raised by 16 people in 9 days,0,,22-Nov-18,5-Dec-18,12,29,1
1543705947-468,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/6g8y100,https://d2g8igdw686xgo.cloudfront.net/34760340_1542891899170631_r.jpeg,pink text font love heart hand magenta finger lip petal,pink text font love heart hand magenta finger  people  petal,0.009615385,0.009615385,0.009615385,0.971153846,635,51,8,Raised by 8 people in 9 days,0,,22-Nov-18,5-Dec-18,12,38,1
1543705671-375,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/mjnhhq-charity-of-choice,https://d2g8igdw686xgo.cloudfront.net/34750130_1543012524461568_r.jpeg,facial hair muscle arm product beard wrestler t shirt, people   ﻿people  muscle arm product beard wrestler t shirt,0.009615385,0.201923077,0.009615385,0.778846154,500,341,10,Raised by 10 people in 9 days,2,https://www.gofundme.com/mjnhhq-charity-of-choice#updates,21-Nov-18,5-Dec-18,13,40,1
1543706794-791,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ryan-lee-burris-donation-page,https://d2g8igdw686xgo.cloudfront.net/34738472_15428171537977_r.jpeg,flower plant tree rose family smile flower arranging floristry flowering plant garden senior citizen,flower plant tree rose  people   people  flower arranging floristry flowering plant garden senior citizen,0.971153846,0.009615385,0.009615385,0.009615385,10000,1079,25,Raised by 25 people in 10 days,0,,21-Nov-18,5-Dec-18,13,194,1
1543705450-296,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/gaja-storm-relief-fund,https://d2g8igdw686xgo.cloudfront.net/34712032_1542937533401636_r.jpg,0,0, , , , ,15000,520,8,Raised by 8 people in 11 days,1,https://www.gofundme.com/gaja-storm-relief-fund#updates,20-Nov-18,5-Dec-18,14,22,0
1543707051-885,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/vvbnvw-elayos-starter-campaign,https://d2g8igdw686xgo.cloudfront.net/34721058_1542756606113416_r.jpeg,sitting leg fur fashion textile girl human behavior furniture shoe couch,sitting leg fur fashion textile  people   people  behavior furniture shoe couch,0.008064516,0.008064516,0.008064516,0.975806452,11430,1454,33,Raised by 33 people in 10 days,0,,20-Nov-18,5-Dec-18,14,75,1
1543707354-997,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/paul-evans-charity-football-game-fundraising,https://d2g8igdw686xgo.cloudfront.net/34630148_1542578563153330_r.jpeg,0,0, , , , ,3810,3835,127,Raised by 127 people in 11 days,0,,20-Nov-18,5-Dec-18,14,1,0
1543704536-24,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/nam-ky-co-nuongs-favorite-charity,https://d2g8igdw686xgo.cloudfront.net/34720400_1542757122171278_r.jpeg,face photograph person nose eyebrow chin portrait cheek head lady,face photograph  people   people   people   people  portrait  people   people  lady,0.184210526,0.798245614,0.00877193,0.00877193,2500,610,9,Raised by 9 people in 10 days,1,https://www.gofundme.com/nam-ky-co-nuongs-favorite-charity#updates,20-Nov-18,5-Dec-18,14,276,1
1543706899-828,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/sweat-for-charity,https://d2g8igdw686xgo.cloudfront.net/34690866_1542675716497795_r.jpeg,sky mountain cloud geological phenomenon rubble mountain range scrap rock disaster meteorological phenomenon,sky mountain cloud geological phenomenon rubble mountain range scrap rock disaster meteorological phenomenon,0.796875,0.015625,0.015625,0.171875,1000,1420,18,Raised by 18 people in 11 days,0,,19-Nov-18,5-Dec-18,15,36,0
1543707169-928,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/help-us-eggscape-durham-uni-for-charity,https://d2g8igdw686xgo.cloudfront.net/34617220_1542458378197324_r.jpeg,face facial expression person chin smile forehead cheek facial hair jaw neck,face  people  expression  people   people   people   people   people   people   ﻿people  jaw neck,0.008064516,0.008064516,0.008064516,0.975806452,318,400,22,Raised by 22 people in 14 days,0,,17-Nov-18,5-Dec-18,17,39,1
1543706275-593,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/cya-peewee-minor-charity-fund,https://d2g8igdw686xgo.cloudfront.net/34618236_1542462906458419_r.jpeg,blue text red font line logo area clip art product signage,blue text red font line logo area c people  art product signage,0.00877193,0.00877193,0.973684211,0.00877193,3400,1060,23,Raised by 23 people in 14 days,0,,17-Nov-18,5-Dec-18,17,15,1
1543705354-268,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/vbubpg-charity-fundraising,https://d2g8igdw686xgo.cloudfront.net/34602788_154240959715178_r.jpeg,water transportation boat watercraft boating sailing personal protective equipment water motorboat sailing sailboat,water transportation boat watercraft boating sailing  people al protective equipment water motorboat sailing sailboat,0.007462687,0.007462687,0.007462687,0.97761194,114300,1322,17,Raised by 17 people in 14 days,0,,16-Nov-18,5-Dec-18,18,291,1
1543707331-988,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/masons-brain-tumour-charity-fund,https://d2g8igdw686xgo.cloudfront.net/34546396_1542289386583373_r.jpeg,car vehicle photography motor vehicle smile girl automotive design family car luxury vehicle audio equipment, vehicle  vehicle photography motor vehicle  people   people  automotive design  people   vehicle  luxury vehicle audio equipment,0.029411765,0.911764706,0.029411765,0.029411765,7620,9703,261,Raised by 261 people in 16 days,0,,15-Nov-18,5-Dec-18,19,952,1
1543706948-847,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/3-charity-christmas-dinner039s,https://d2g8igdw686xgo.cloudfront.net/34543088_1542269747646611_r.jpeg,font text logo brand,font text logo brand,0.009615385,0.009615385,0.971153846,0.009615385,1270,946,44,Raised by 44 people in 16 days,0,,15-Nov-18,5-Dec-18,19,111,0
1543706367-628,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/6bu4vko,https://d2g8igdw686xgo.cloudfront.net/34100094_1542319902764982_r.jpg,team community tree recreation product t shirt grass fun race photo caption,team community tree recreation product t shirt grass fun race photo caption,0.710526316,0.00877193,0.271929825,0.00877193,635,874,31,Raised by 31 people in 17 days,1,https://www.gofundme.com/6bu4vko#updates,14-Nov-18,5-Dec-18,20,66,0
1543706448-658,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/la-wildfire-charity-event,https://d2g8igdw686xgo.cloudfront.net/34527674_1542231868373641_r.jpeg,dog breed dog snout photo caption dog like mammal,dog breed dog snout photo caption dog like mammal,0.013513514,0.013513514,0.959459459,0.013513514,10000,840,11,Raised by 11 people in 17 days,0,,14-Nov-18,5-Dec-18,20,22,0
1543706263-588,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/angie-lunt-recovery,https://d2g8igdw686xgo.cloudfront.net/34491374_1542222152596170_r.jpeg,eyebrow face forehead nose chin cheek glasses head hairstyle facial hair, people  face  people   people   people   people  glasses  people   ﻿people style  people   ﻿people ,0.105769231,0.009615385,0.009615385,0.875,5000,480,10,Raised by 10 people in 17 days,0,,14-Nov-18,5-Dec-18,20,105,1
1543707346-994,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/16-esb-cycling-for-charity,https://d2g8igdw686xgo.cloudfront.net/34113244_15425700810_r.jpeg,advertising banner team vehicle energy,advertising banner team vehicle energy,0.380597015,0.007462687,0.007462687,0.604477612,5650,2112,52,Raised by 52 people in 17 days,0,,14-Nov-18,5-Dec-18,20,182,0
1543706968-855,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/clean-shave-for-charity,https://d2g8igdw686xgo.cloudfront.net/34512674_1542194966690981_r.jpeg,facial hair suit formal wear vision care furniture gentleman glasses tuxedo eyewear beard, people   ﻿people  suit formal wear vision  vehicle e furniture gentle people  glasses tuxedo  glasses  beard,0.015625,0.171875,0.328125,0.484375,1270,1067,61,Raised by 61 people in 17 days,0,,14-Nov-18,5-Dec-18,20,2,1
1543706501-679,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/kayza039s-posttop-surgery-fundraiser,https://d2g8igdw686xgo.cloudfront.net/34535392_1542247179400446_r.jpeg,restaurant coffeehouse bar café cafeteria liquor store,restaurant coffeehouse bar café cafeteria liquor store,0.964285714,0.011904762,0.011904762,0.011904762,3000,2245,56,Raised by 56 people in 16 days,0,,14-Nov-18,5-Dec-18,20,180,0
1543705877-446,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-penning-medical-expenses,https://d2g8igdw686xgo.cloudfront.net/34493668_1542143128886098_r.jpeg,audience fun girl interaction event crowd product finger hand,audience fun  people  interaction event crowd product finger hand,0.009615385,0.009615385,0.971153846,0.009615385,5000,800,12,Raised by 12 people in 18 days,5,https://www.gofundme.com/charity-penning-medical-expenses#updates,13-Nov-18,5-Dec-18,21,78,1
