web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image labels,REPLACED_LABELS,"Team, sport, group activities","Enviromental attributes (recreational, fun, activities)","Product, brand attributes","Face, Skin, human expressions",goal,Raised,people,time,updates,updates-href,createdby,today,days,shares,people
1543706904-830,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/supporting-the-lets-play-charity,https://d2g8igdw686xgo.cloudfront.net/32493908_1535446527845179_r.jpeg,text font line product area organism document paper brand,text font line product area organism document paper brand,0.328125,0.015625,0.328125,0.328125,635,235,13,Raised by 13 people in 3 months,0,,28-Aug-18,5-Dec-18,98,62,0
1543706922-837,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/2018ASKCharityStream,https://d2g8igdw686xgo.cloudfront.net/32508306_1535491395100381_r.jpeg,text font nose product product line design area snout smile,text font  people  product product line design area snout  people ,0.875,0.105769231,0.009615385,0.009615385,1000,525,16,Raised by 16 people in 3 months,1,https://www.gofundme.com/2018ASKCharityStream#updates,28-Aug-18,5-Dec-18,98,24,1
1543705720-394,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/autumn039s-charity-cut,https://d2g8igdw686xgo.cloudfront.net/32505140_1535482777344257_r.jpeg,face eyebrow cheek nose tooth human hair color lip chin forehead head,face  people   people   people  tooth  people   ﻿people  color  people   people   people   people ,0,0,0,0,635,152,15,Raised by 15 people in 3 months,2,https://www.gofundme.com/autumn039s-charity-cut#updates,28-Aug-18,5-Dec-18,98,86,1
1543706481-671,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/tony-tennant039s-medivac-amp-medical,https://d2g8igdw686xgo.cloudfront.net/32419990_1535195231433303_r.jpeg,water vacation forehead recreation beach tourism sand selfie,water vacation  people  recreation beach tourism sand selfie,0.156716418,0.305970149,0.007462687,0.529850746,25400,23752,445,Raised by 445 people in 3 months,10,https://www.gofundme.com/tony-tennant039s-medivac-amp-medical#updates,25-Aug-18,5-Dec-18,101,1.8,1
1543706901-829,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/10-mile-run-for-charity,https://d2g8igdw686xgo.cloudfront.net/32404002_1535136845279102_r.jpeg,people sitting man day plant fun male emotion grass vacation,people sitting  people  day plant fun male emotion grass vacation,0.215277778,0.006944444,0.006944444,0.770833333,191,775,19,Raised by 19 people in 3 months,0,,24-Aug-18,5-Dec-18,102,84,1
1543706876-820,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ongoing-charity-for-muhammad-genel,https://d2g8igdw686xgo.cloudfront.net/32389996_1535097207869866_r.jpg,mountainous landforms sky mountain ridge outdoor recreation vacation mountain range tourism cloud adventure,mountainous landforms sky mountain ridge outdoor recreation vacation mountain range tourism cloud adventure,0.359649123,0.00877193,0.271929825,0.359649123,30000,23484,286,Raised by 286 people in 3 months,0,,23-Aug-18,5-Dec-18,103,1.1,0
1543705681-379,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/more-precious-than-rubies,https://d2g8igdw686xgo.cloudfront.net/32351344_1537842640460590_r.jpg,skin child human hair color eye toddler girl infant fun vacation happiness,skin  people   people   ﻿people  color eye  people   people  infant fun vacation happiness,0.008064516,0.008064516,0.008064516,0.975806452,25000,6855,67,Raised by 67 people in 3 months,0,,22-Aug-18,5-Dec-18,104,309,1
1543704562-32,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/v8qm8k,https://d2g8igdw686xgo.cloudfront.net/4676065_1534865276.8194.jpg,product family daughter girl,product  people  daughter  people ,0.018518519,0.018518519,0.018518519,0.944444444,5000,1645,22,Raised by 22 people in 3 months,2,https://www.gofundme.com/v8qm8k#updates,21-Aug-18,5-Dec-18,105,408,1
1543706912-833,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/breathe-ball-2018,https://d2g8igdw686xgo.cloudfront.net/32288382_1534833165233623_r.jpeg,text font graphic design design brand graphics logo illustration computer wallpaper,text font graphic design design brand graphics logo illustration computer wallpaper,0.00877193,0.00877193,0.973684211,0.00877193,25400,18666,24,Raised by 24 people in 3 months,0,,20-Aug-18,5-Dec-18,106,108,0
1543706200-563,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/AlexRungay,https://d2g8igdw686xgo.cloudfront.net/5929415_1534783178767451_r.jpeg,fun event smile cool product drink finger t shirt,fun event  people  cool product drink finger t shirt,0.010638298,0.010638298,0.436170213,0.542553191,1270,2686,100,Raised by 100 people in 3 months,4,https://www.gofundme.com/AlexRungay#updates,20-Aug-18,5-Dec-18,106,462,1
1543706809-797,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/kurelo-ironman-charity-event,,#N/A,#N/A, , , , ,7500,5250,91,Raised by 91 people in 3 months,3,https://www.gofundme.com/kurelo-ironman-charity-event#updates,16-Aug-18,5-Dec-18,110,299,0
1543704616-46,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ncs-new-life-charity,https://d2g8igdw686xgo.cloudfront.net/32163294_1534769326720647_r.jpg,social group crowd youth fun community recreation tree product team girl,social group crowd youth fun community recreation tree product team  people ,0.011904762,0.011904762,0.964285714,0.011904762,762,457,28,Raised by 28 people in 3 months,3,https://www.gofundme.com/ncs-new-life-charity#updates,15-Aug-18,5-Dec-18,111,87,1
1543706998-866,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/atticus-dpig-amp-brain-tumor-charity,https://d2g8igdw686xgo.cloudfront.net/32160470_154116169564252_r.jpg,child toddler infant product play, people   people  infant product play,0.679104478,0.305970149,0.007462687,0.007462687,19050,15380,293,Raised by 293 people in 3 months,10,https://www.gofundme.com/atticus-dpig-amp-brain-tumor-charity#updates,15-Aug-18,5-Dec-18,111,437,1
1543705506-314,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/prem-group-charity-cycle-2018,https://d2g8igdw686xgo.cloudfront.net/32164814_1534346973323440_r.jpeg,team team sport sports vehicle community recreation endurance sports duathlon race public event,team team sport sports vehicle community recreation endurance sports duathlon race public event,0.973684211,0.00877193,0.00877193,0.00877193,3390,1904,49,Raised by 49 people in 3 months,0,,15-Aug-18,5-Dec-18,111,86,0
1543706766-780,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/krommin-charity-2018,https://d2g8igdw686xgo.cloudfront.net/32167744_1534541484192956_r.jpeg,community crowd child recreation state school school,community crowd  people  recreation state school school,0.009615385,0.009615385,0.105769231,0.875,8000,1146,42,Raised by 42 people in 3 months,0,,15-Aug-18,5-Dec-18,111,90,1
1543705658-370,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/cwrkoeln,https://d2g8igdw686xgo.cloudfront.net/32171880_15343614300_r.jpeg,sports running race ultramarathon marathon long distance running recreation outdoor recreation half marathon athletics,sports running race ultramarathon marathon long distance running recreation outdoor recreation half marathon athletics,0.010638298,0.010638298,0.010638298,0.968085106,3051,1714,37,Raised by 37 people in 3 months,0,,15-Aug-18,5-Dec-18,111,23,0
1543705415-286,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/fv7jx3-burton-albionct-ncs-x-steps-charity,https://d2g8igdw686xgo.cloudfront.net/32162130_1534336575400186_r.jpeg,social group fun team girl physical fitness student,social group fun team  people  physical fitness student,0.009615385,0.009615385,0.009615385,0.971153846,318,248,14,Raised by 14 people in 3 months,0,,15-Aug-18,5-Dec-18,111,56,1
1543706194-561,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/kzts6-charity-football-match,https://d2g8igdw686xgo.cloudfront.net/32144398_153427802317717_r.jpeg,games text product advertising banner font product brand player logo,games text product advertising banner font product brand player logo,0.082089552,0.902985075,0.007462687,0.007462687,508,2661,77,Raised by 77 people in 3 months,0,,14-Aug-18,5-Dec-18,112,145,0
1543705955-471,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ncs-social-action-fundraising,https://d2g8igdw686xgo.cloudfront.net/32130466_1534323945143180_r.jpg,nature social group tree plant woody plant vertebrate outdoor recreation community rural area recreation,nature social group tree plant woody plant vertebrate outdoor recreation community rural area recreation,0.007462687,0.007462687,0.007462687,0.97761194,254,159,13,Raised by 13 people in 3 months,0,,14-Aug-18,5-Dec-18,112,41,0
1543705326-259,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-disco-for-chums,https://d2g8igdw686xgo.cloudfront.net/31553750_1534248915175324_r.jpeg,social group crowd community youth tree team recreation fun event tourism,social group crowd community youth tree team recreation fun event tourism,0.013513514,0.013513514,0.959459459,0.013513514,127,127,10,Raised by 10 people in 3 months,0,,14-Aug-18,5-Dec-18,112,82,0
1543706250-583,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/gazebo-amp-equipment-for-charity,https://d2g8igdw686xgo.cloudfront.net/32132402_1534250858917081_r.jpeg,wing fashion accessory product necklace jewellery body jewelry neck line art line hand,wing fashion accessory product necklace jewellery body jewelry neck line art line hand,0.009615385,0.009615385,0.971153846,0.009615385,1270,418,23,Raised by 23 people in 3 months,0,,14-Aug-18,5-Dec-18,112,137,0
1543707029-877,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/cunucu-charity-meet-and-greet,https://d2g8igdw686xgo.cloudfront.net/32104440_1534166751983140_r.jpeg,dog dog breed dog like mammal dog breed group snout chihuahua carolina dog puppy corgi chihuahua,dog dog breed dog like mammal dog breed group snout chihuahua  vehicle olina dog puppy corgi chihuahua,0.00877193,0.184210526,0.00877193,0.798245614,1500,550,18,Raised by 18 people in 3 months,0,,13-Aug-18,5-Dec-18,113,44,0
1543705900-454,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/lambda-theta-phi-futbol-charity-cup,https://d2g8igdw686xgo.cloudfront.net/32127128_1534220697541656_r.jpeg,advertising football ball product ball graphic design product brand graphics font,advertising football ball product ball graphic design product brand graphics font,0.011904762,0.011904762,0.25,0.726190476,1000,870,27,Raised by 27 people in 3 months,0,,13-Aug-18,5-Dec-18,113,30,0
1543704648-56,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/david039s-10000-feet-charity-skydive,https://d2g8igdw686xgo.cloudfront.net/32090598_1534108431269809_r.jpeg,eyewear sunglasses glasses vision care mountainous landforms vacation sky smile mountain adventure, glasses  sunglasses glasses vision  vehicle e mountainous landforms vacation sky  people  mountain adventure,0.007462687,0.007462687,0.007462687,0.97761194,635,1156,31,Raised by 31 people in 3 months,2,https://www.gofundme.com/david039s-10000-feet-charity-skydive#updates,12-Aug-18,5-Dec-18,114,70,1
1543706116-532,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ncs-charity-football-tournament,https://d2g8igdw686xgo.cloudfront.net/32080958_1534071964500789_r.jpeg,text heart love font valentine's day heart graphics computer wallpaper logo brand,text heart love font valentine's day heart graphics computer wallpaper logo brand,0.902985075,0.007462687,0.007462687,0.082089552,635,114,8,Raised by 8 people in 3 months,1,https://www.gofundme.com/ncs-charity-football-tournament#updates,12-Aug-18,5-Dec-18,114,49,0
1543706348-620,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/thirties-throughout-charities,,#N/A,#N/A, , , , ,3000,865,15,Raised by 15 people in 3 months,2,https://www.gofundme.com/thirties-throughout-charities#updates,11-Aug-18,5-Dec-18,115,17,0
1543704776-94,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/youplusmecharity,https://d2g8igdw686xgo.cloudfront.net/32035648_1534879085302860_r.jpg,team sport team social group community youth sports leisure fun recreation race,team sport team social group community youth sports leisure fun recreation race,0.00877193,0.00877193,0.973684211,0.00877193,5000,3600,18,Raised by 18 people in 3 months,2,https://www.gofundme.com/youplusmecharity#updates,10-Aug-18,5-Dec-18,116,22,0
1543706334-615,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/unite-the-fight-for-lgbt-charities,https://d2g8igdw686xgo.cloudfront.net/32045320_1533928955648661_r.jpeg,black photograph black and white beauty photography monochrome photography fashion girl photo shoot human,black photograph black and white beauty photography monochrome photography fashion  people  photo shoot  people ,0.009615385,0.105769231,0.875,0.009615385,5000,5000,51,Raised by 51 people in 3 months,2,https://www.gofundme.com/unite-the-fight-for-lgbt-charities#updates,10-Aug-18,5-Dec-18,116,120,1
1543707063-889,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/tyler039s-tuition-charity-fund,https://d2g8igdw686xgo.cloudfront.net/32054242_1533994084819588_r.jpeg,person chin forehead gentleman official, people   people   people  gentle people  official,0.00877193,0.00877193,0.973684211,0.00877193,4000,3875,59,Raised by 59 people in 3 months,0,,10-Aug-18,5-Dec-18,116,253,1
1543705545-329,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/kellyskydive,https://d2g8igdw686xgo.cloudfront.net/32021042_1533845705306185_r.jpeg,blue text font logo product line area brand product graphics,blue text font logo product line area brand product graphics,0.184210526,0.00877193,0.00877193,0.798245614,1270,565,15,Raised by 15 people in 3 months,0,,9-Aug-18,5-Dec-18,117,67,0
1543705274-244,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/for-the-children-who-need-our-help,https://d2g8igdw686xgo.cloudfront.net/31987252_1533944053411802_r.jpg,mural tourism team tree recreation fun,mural tourism team tree recreation fun,0.953125,0.015625,0.015625,0.015625,254,184,14,Raised by 14 people in 3 months,0,,8-Aug-18,5-Dec-18,118,83,0
1543705953-470,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/baby-adam039s-recovery,https://d2g8igdw686xgo.cloudfront.net/32000230_1535371476433381_r.jpeg,face nose cheek facial expression child skin chin lip eyebrow tooth,face  people   people   people  expression  people  skin  people   people   people  tooth,0.184210526,0.00877193,0.00877193,0.798245614,25000,5840,53,Raised by 53 people in 3 months,12,https://www.gofundme.com/baby-adam039s-recovery#updates,8-Aug-18,5-Dec-18,118,603,1
1543705178-215,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/plumstead-charity-cup,https://d2g8igdw686xgo.cloudfront.net/31980152_1533721111466378_r.jpeg,sport venue player grass structure football soccer specific stadium stadium ball sports advertising,sport venue player grass structure football soccer specific stadium stadium ball sports advertising,0.015625,0.171875,0.328125,0.484375,635,84,6,Raised by 6 people in 3 months,0,,8-Aug-18,5-Dec-18,118,73,0
1543705516-318,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/graymount-girl039s-charity,https://d2g8igdw686xgo.cloudfront.net/31992884_1533758500958820_r.jpeg,property residential area house home neighbourhood building town real estate estate facade,property residential area house home neighbourhood building town real estate estate facade,0,0,0,0,64,90,8,Raised by 8 people in 3 months,0,,8-Aug-18,5-Dec-18,118,29,0
1543707131-914,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/541ft-charity-abseil,https://d2g8igdw686xgo.cloudfront.net/31958018_1533657811627461_r.jpeg,sky daytime building architecture urban area skyscraper metropolitan area metropolis tourist attraction tower block,sky daytime building architecture urban area skyscraper metropolitan area metropolis tourist attraction tower block,0.009615385,0.009615385,0.971153846,0.009615385,635,940,47,Raised by 47 people in 3 months,0,,7-Aug-18,5-Dec-18,119,13,0
1543704852-116,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/sweet-charity-choir-carnegie-hall,https://d2g8igdw686xgo.cloudfront.net/31952620_1533636806916163_r.jpeg,worship crowd musician event chapel,worship crowd musician event chapel,0.008064516,0.008064516,0.008064516,0.975806452,6350,406,12,Raised by 12 people in 3 months,0,,7-Aug-18,5-Dec-18,119,265,0
1543704482-8,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/alliance-for-chloe,https://d2g8igdw686xgo.cloudfront.net/31968094_1533679135744778_r.jpeg,anime fictional character mythical creature mythology cg artwork organism underwater computer wallpaper art illustration,anime fictional character mythical creature mythology cg artwork organism underwater computer wallpaper art illustration,0.00877193,0.00877193,0.184210526,0.798245614,5000,2790,81,Raised by 81 people in 3 months,0,,7-Aug-18,5-Dec-18,119,70,0
1543706548-696,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/sponsorship-for-charity-event,https://d2g8igdw686xgo.cloudfront.net/31970724_1533685349387573_r.jpeg,singing speech performance event,singing speech perfor people ce event,0.97761194,0.007462687,0.007462687,0.007462687,1000,1215,26,Raised by 26 people in 3 months,4,https://www.gofundme.com/sponsorship-for-charity-event#updates,7-Aug-18,5-Dec-18,119,139,1
1543704623-48,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/alanna039s-head-shave-for-charity,https://d2g8igdw686xgo.cloudfront.net/31952246_1533641520809809_r.jpeg,hair face eyebrow facial expression human hair color chin nose smile head forehead, ﻿people  face  people   people  expression  people   ﻿people  color  people   people   people   people   people ,0.009615385,0.009615385,0.682692308,0.298076923,800,1820,44,Raised by 44 people in 3 months,1,https://www.gofundme.com/alanna039s-head-shave-for-charity#updates,7-Aug-18,5-Dec-18,119,178,1
1543706987-862,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/evros-charity-cycle,https://d2g8igdw686xgo.cloudfront.net/31958466_1533658881309224_r.jpeg,text purple violet font product logo brand product graphics,text purple violet font product logo brand product graphics,0.096491228,0.00877193,0.00877193,0.885964912,5650,9820,186,Raised by 186 people in 3 months,0,,7-Aug-18,5-Dec-18,119,277,0
1543705945-467,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/patrick-burns-charity-event,https://d2g8igdw686xgo.cloudfront.net/31947894_1533710220195560_r.jpeg,basketball player basketball moves basketball sports ball game arm team sport competition event,basketball player basketball moves basketball sports ball game arm team sport competition event,0.018518519,0.018518519,0.944444444,0.018518519,10000,12375,105,Raised by 105 people in 3 months,2,https://www.gofundme.com/patrick-burns-charity-event#updates,6-Aug-18,5-Dec-18,120,249,0
1543704709-73,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ncs-centre-33-charity-fundraiser,https://d2g8igdw686xgo.cloudfront.net/31926444_1533828848681414_r.jpg,social group team youth fun recreation student,social group team youth fun recreation student,0.488095238,0.011904762,0.011904762,0.488095238,1270,1310,43,Raised by 43 people in 3 months,6,https://www.gofundme.com/ncs-centre-33-charity-fundraiser#updates,6-Aug-18,5-Dec-18,120,207,0
1543706327-612,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-triathlon-4-newlife,https://d2g8igdw686xgo.cloudfront.net/31923350_1533552099725866_r.jpeg,barechestedness man car male muscle race arm recreation competition trunk,barechestedness  people   vehicle  male muscle race arm recreation competition trunk,0.008064516,0.008064516,0.008064516,0.975806452,254,446,26,Raised by 26 people in 3 months,1,https://www.gofundme.com/charity-triathlon-4-newlife#updates,6-Aug-18,5-Dec-18,120,67,1
1543706467-666,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/adrians-charity-ball,https://d2g8igdw686xgo.cloudfront.net/31897924_1533447392202639_r.jpeg,text purple font violet graphics product brand,text purple font violet graphics product brand,0.013513514,0.013513514,0.959459459,0.013513514,635,1016,20,Raised by 20 people in 3 months,0,,5-Aug-18,5-Dec-18,121,46,0
1543704613-45,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/battle-teaching-charity,https://d2g8igdw686xgo.cloudfront.net/31901796_1533477344156435_r.jpeg,eyewear glasses vision care goggles cool headgear facial hair sunglasses, glasses  glasses vision  vehicle e goggles cool  people gear  people   ﻿people  sunglasses,0.572580645,0.411290323,0.008064516,0.008064516,254,8484,89,Raised by 89 people in 3 months,0,,5-Aug-18,5-Dec-18,121,74,1
1543706930-840,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/5x1q9v4,https://d2g8igdw686xgo.cloudfront.net/31886636_1533772189434750_r.jpg,stuffed toy plush toy textile material teddy bear snout,stuffed toy plush toy textile material teddy bear snout,0.088709677,0.25,0.008064516,0.653225806,500,690,29,Raised by 29 people in 3 months,0,,4-Aug-18,5-Dec-18,122,9,0
1543705608-352,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/londonbrighton-off-road-bike-ride,https://d2g8igdw686xgo.cloudfront.net/31884628_1535111292181164_r.jpg,text heart love font valentine's day organ area line logo heart,text heart love font valentine's day organ area line logo heart,0.029411765,0.029411765,0.029411765,0.911764706,1270,2540,88,Raised by 88 people in 3 months,2,https://www.gofundme.com/londonbrighton-off-road-bike-ride#updates,4-Aug-18,5-Dec-18,122,200,0
1543706658-739,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ma-tornado-charity-lost-everything,https://d2g8igdw686xgo.cloudfront.net/31896598_153344280027870_r.jpeg,tree vehicle asphalt construction worker crane construction equipment advertising,tree vehicle asphalt construction worker crane construction equipment advertising,0.013513514,0.013513514,0.013513514,0.959459459,5000,3995,64,Raised by 64 people in 3 months,1,https://www.gofundme.com/ma-tornado-charity-lost-everything#updates,4-Aug-18,5-Dec-18,122,248,0
1543707015-872,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-skydive-for-restore,,#N/A,#N/A, , , , ,762,659,32,Raised by 32 people in 3 months,0,,4-Aug-18,5-Dec-18,122,39,0
1543706411-644,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/ab-charity-cycle,https://d2g8igdw686xgo.cloudfront.net/31852280_1533284148301699_r.jpeg,team sport cycle sport road bicycle sports team bicycle bicycle racing sports equipment cyclo cross racing bicycle,team sport cycle sport road bicycle sports team bicycle bicycle racing sports equipment cyclo cross racing bicycle,0.041666667,0.041666667,0.041666667,0.875,11300,10464,233,Raised by 233 people in 4 months,0,,3-Aug-18,5-Dec-18,123,259,0
1543705799-423,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/stand-by-me-charity-sky-dive,,#N/A,#N/A, , , , ,2540,914,28,Raised by 28 people in 4 months,0,,2-Aug-18,5-Dec-18,124,87,0
1543706487-673,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-sleep-out,https://d2g8igdw686xgo.cloudfront.net/31825420_1533503956693501_r.jpg,outdoor recreation youth team community race adventure racing sports recreation vehicle tourism,outdoor recreation youth team community race adventure racing sports recreation vehicle tourism,0.980519481,0.006493506,0.006493506,0.006493506,635,324,20,Raised by 20 people in 4 months,0,,2-Aug-18,5-Dec-18,124,54,0
1543704957-149,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/donations-for-brock-day,https://d2g8igdw686xgo.cloudfront.net/31806896_1533150950561258_r.jpeg,patient hospital girl trunk hand service abdomen medical product barechestedness,patient hospital  people  trunk hand service abdomen medical product barechestedness,0.008064516,0.008064516,0.008064516,0.975806452,2500,1575,24,Raised by 24 people in 4 months,1,https://www.gofundme.com/donations-for-brock-day#updates,1-Aug-18,5-Dec-18,125,514,1
1543706121-534,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/team-keane-junior-octuple-boat,https://d2g8igdw686xgo.cloudfront.net/31804248_1533219988978181_r.jpeg,child head eyewear toddler product vision care cheek glasses mouth cool, people   people   glasses   people  product vision  vehicle e  people  glasses mouth cool,0.00877193,0.00877193,0.973684211,0.00877193,635,1130,25,Raised by 25 people in 4 months,0,,1-Aug-18,5-Dec-18,125,23,1
1543705579-341,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/maidstone-vpc-5k-run,https://d2g8igdw686xgo.cloudfront.net/31806610_1536873862794027_r.jpg,team official high school crew organization military person,team official high school crew organization military  people ,0.931818182,0.022727273,0.022727273,0.022727273,1080,1106,31,Raised by 31 people in 4 months,4,https://www.gofundme.com/maidstone-vpc-5k-run#updates,1-Aug-18,5-Dec-18,125,167,1
1543705360-270,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/charity-for-ronika-smile,https://d2g8igdw686xgo.cloudfront.net/31810746_1533158945388232_r.jpeg,hair hairstyle tree forehead temple smile hair coloring vacation girl, ﻿people   ﻿people style tree  people  temple  people   ﻿people  coloring vacation  people ,0.00877193,0.184210526,0.00877193,0.798245614,2000,2050,34,Raised by 34 people in 4 months,0,,1-Aug-18,5-Dec-18,125,261,1
1543704887-127,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/jerri039s-bone-marrow-transplant,https://d2g8igdw686xgo.cloudfront.net/31804628_1533145660112358_r.jpeg,eyebrow nose chin hairstyle head forehead cheek black hair smile girl, people   people   people   ﻿people style  people   people   people  black  ﻿people   people   people ,0.022727273,0.022727273,0.704545455,0.25,10000,2072,33,Raised by 33 people in 4 months,6,https://www.gofundme.com/jerri039s-bone-marrow-transplant#updates,1-Aug-18,5-Dec-18,125,334,1
1543705063-181,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/macmillan-charity-events,https://d2g8igdw686xgo.cloudfront.net/31795170_153310875714752_r.jpeg,headgear tree outdoor recreation race grass recreation duathlon cap ultramarathon endurance sports, people gear tree outdoor recreation race grass recreation duathlon cap ultramarathon endurance sports,0.007462687,0.97761194,0.007462687,0.007462687,635,806,22,Raised by 22 people in 4 months,1,https://www.gofundme.com/macmillan-charity-events#updates,1-Aug-18,5-Dec-18,125,152,1
1543705056-179,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/abseiling-down-the-europa,https://d2g8igdw686xgo.cloudfront.net/31782484_153310999965643_r.jpeg,text organ heart font signage line area sign heart brand,text organ heart font signage line area sign heart brand,0.959459459,0.013513514,0.013513514,0.013513514,635,951,56,Raised by 56 people in 4 months,1,https://www.gofundme.com/abseiling-down-the-europa#updates,1-Aug-18,5-Dec-18,125,216,0
1543705235-232,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/tallinn-half-marathon,https://d2g8igdw686xgo.cloudfront.net/31762282_1533009416885077_r.jpeg,0,0, , , , ,318,140,11,Raised by 11 people in 4 months,7,https://www.gofundme.com/tallinn-half-marathon#updates,30-Jul-18,5-Dec-18,127,66,0
1543705710-390,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=charity,,https://www.gofundme.com/sam-pearson-charity-head-shave,https://d2g8igdw686xgo.cloudfront.net/31752784_1532990159958193_r.jpeg,face nose text human behavior chin forehead human photo caption conversation communication,face  people  text  people  behavior  people   people   people  photo caption conversation communication,0.015625,0.015625,0.953125,0.015625,254,260,23,Raised by 23 people in 4 months,0,,30-Jul-18,5-Dec-18,127,18,1
