,nb,nb2,value
0,hyundai,kia,3.060209160481040336037746706
1,hyundai,bmw,1.373680070541800215544389547
2,hyundai,toyota,1.415365638507183441521110644
3,hyundai,pontiac,1.103728870238473989405800568
4,hyundai,audi,1.154432034452525970023252852
5,hyundai,acura,1.206157613785872953813138262
6,hyundai,honda,1.416519482255103110083815384
7,hyundai,lexus,1.477995755526446725764360638
8,hyundai,infiniti,1.203046780597272570343518039
9,kia,bmw,1.387811561561561561561561562
10,kia,toyota,1.407362180119728965199657917
11,kia,pontiac,1.115744892874937717987045341
12,kia,audi,1.156630261320566527029722721
13,kia,acura,1.234452101412285179513357155
14,kia,honda,1.400670006516780710329097426
15,kia,lexus,1.456127450980392156862745098
16,kia,infiniti,1.173151115859449192782526116
17,bmw,toyota,1.300511737314579232874081897
18,bmw,pontiac,1.402626105926554357047630590
19,bmw,audi,1.608558396816924644572759474
20,bmw,acura,1.391749513679069574934812301
21,bmw,honda,1.276064833161607355155742253
22,bmw,lexus,2.059042925278219395866454690
23,bmw,infiniti,1.859564564564564564564564565
24,toyota,pontiac,1.268180551019920509123927709
25,toyota,audi,1.332469150368898767290302762
26,toyota,acura,1.400522432785059981848135444
27,toyota,honda,1.671054207924659995937140268
28,toyota,lexus,1.648381104958265129616085629
29,toyota,infiniti,1.360387474508256035787119268
30,pontiac,audi,1.549688835932405342521998857
31,pontiac,acura,1.713526394220534408284633187
32,pontiac,honda,1.507848191155004405402206646
33,pontiac,lexus,1.347734107095753099446056449
34,pontiac,infiniti,2.766591928251121076233183857
35,audi,acura,2.058077482465956048729658172
36,audi,honda,1.423185056097548134381400148
37,audi,lexus,2.133213644524236983842010772
38,audi,infiniti,2.233492918412128465988430082
39,acura,honda,2.321192960080476752906728701
40,acura,lexus,2.408296549860372939374831096
41,acura,infiniti,2.896588395439850263740003403
42,honda,lexus,1.451857282502443792766373412
43,honda,infiniti,1.451857282502443792766373412
44,lexus,infiniti,3.260729847494553376906318083
