,nb,nb2,value
0,beto,cruz,1.174744478
1,beto,bigcity,1.273882197
2,beto,smalltown,1.095043506
3,cruz,bigcity,1.02906705
4,cruz,smalltown,1.07464225
5,bigcity,smalltown,0.701272078
