web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time,updates,updates-href,createdby,shares
"1543712267-1288","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/xvuxjn-starting-a-business","https://d2g8igdw686xgo.cloudfront.net/19696400_1492393068.6944.png","of $2,500 goal","$310","4","Raised by 4 people in 19 months","Updates   2","https://www.gofundme.com/xvuxjn-starting-a-business#updates","null","27"
"1543712476-1363","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/cyle039s-business-venture","https://d2g8igdw686xgo.cloudfront.net/32727452_1536189224779367_r.jpeg","of $1,000 goal","$180","7","Raised by 7 people in 2 months","null","","Created September 5, 2018","80"
"1543713192-1632","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/2b-small-business-relief-fund","https://d2g8igdw686xgo.cloudfront.net/16809042_1481919965.4546.jpg","of $2,000 goal","$750","12","Raised by 12 people in 23 months","Updates   1","https://www.gofundme.com/2b-small-business-relief-fund#updates","null","137"
"1543713545-1760","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/uw6hk-small-business-class-help","https://d2g8igdw686xgo.cloudfront.net/32099252_1534133590147277_r.jpeg","of $150 goal","$340","7","Raised by 7 people in 3 months","Updates   1","https://www.gofundme.com/uw6hk-small-business-class-help#updates","Created August 12, 2018","29"
"1543712092-1221","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/business-funding-required","https://d2g8igdw686xgo.cloudfront.net/34950078_1543511853912949_r.jpeg","goal","$250,000","2 days","Campaign created 2 days ago","Updates   1","https://www.gofundme.com/business-funding-required#updates","Created November 29, 2018","5"
"1543712596-1411","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/sxatt-alternative-energy-initiative","https://d2g8igdw686xgo.cloudfront.net/34052738_1540659814117503_r.jpeg","of $50,000 goal","$390","6","Raised by 6 people in 1 month","Updates   6","https://www.gofundme.com/sxatt-alternative-energy-initiative#updates","Created October 27, 2018","23"
"1543713863-1880","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/3wdgv4g","https://d2g8igdw686xgo.cloudfront.net/21009620_14968467520_r.jpg","of $2,000 goal","$1,080","25","Raised by 25 people in 18 months","Updates   2","https://www.gofundme.com/3wdgv4g#updates","null","250"
"1543713344-1685","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/681ta9c","https://d2g8igdw686xgo.cloudfront.net/33533340_1538844083874744_r.jpg","of $5,000 goal","$670","12","Raised by 12 people in 1 month","null","","Created October 6, 2018","40"
"1543713200-1635","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/5rqiud4","https://d2g8igdw686xgo.cloudfront.net/31091702_1530824937659049_r.jpg","of $900 goal","$415","11","Raised by 11 people in 4 months","null","","Created July 5, 2018","53"
"1543713960-1914","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/harvey-small-business-relief-fund","","of $30,000 goal","$22,615","375","Raised by 375 people in 15 months","Updates   3","https://www.gofundme.com/harvey-small-business-relief-fund#updates","Created September 1, 2017","1.7k"
"1543713820-1863","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/get-the-halls-back-in-business","https://d2g8igdw686xgo.cloudfront.net/34267416_1541474338167178_r.jpeg","of $4,500 goal","$1,225","19","Raised by 19 people in 25 days","null","","Created November 5, 2018","29"
"1543712455-1354","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/create-business-opportunities","https://d2g8igdw686xgo.cloudfront.net/29942072_1526781562.6258.jpg","of $10,000 goal","$75","4","Raised by 4 people in 6 months","Updates   1","https://www.gofundme.com/create-business-opportunities#updates","Created May 16, 2018","38"
"1543711540-1023","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/fight-for-warren","https://d2g8igdw686xgo.cloudfront.net/18055364_1486460262.3644.jpg","of $10,000 goal","$46,050","292","Raised by 292 people in 22 months","null","","null","1.3k"
"1543711831-1120","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/tornado-short-film","","of £550 goal","£475","21","Raised by 21 people in 12 months","Updates   1","https://www.gofundme.com/tornado-short-film#updates","Created November 16, 2017","148"
"1543713733-1831","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/hurricaneharveyoakhollow","https://d2g8igdw686xgo.cloudfront.net/23400714_1504041340.5492.jpg","of $20,000 goal","$9,185","68","Raised by 68 people in 15 months","Updates   2","https://www.gofundme.com/hurricaneharveyoakhollow#updates","Created August 29, 2017","542"
"1543713259-1654","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/2gbg40s","https://d2g8igdw686xgo.cloudfront.net/13218443_1507725440.4272.jpg","of $1,700 goal","$1,295","22","Raised by 22 people in 28 months","null","","null","303"
"1543712113-1230","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/6hwjsjk","https://d2g8igdw686xgo.cloudfront.net/35008144_1543686704570559_r.jpg","goal","$12,000","6 hours","Campaign created 6 hours ago","null","","Created December 1, 2018","8"
"1543712835-1501","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/6dv4g5-small-business-start-up","https://d2g8igdw686xgo.cloudfront.net/27149428_15167653150_r.jpg","of $1,500 goal","$255","7","Raised by 7 people in 10 months","null","","Created January 21, 2018","3"
"1543712419-1340","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/equipment-signs-for-new-business","https://d2g8igdw686xgo.cloudfront.net/23868008_1505525413.9673.jpg","of $3,500 goal","$660","15","Raised by 15 people in 14 months","Updates   4","https://www.gofundme.com/equipment-signs-for-new-business#updates","Created September 13, 2017","85"
"1543712636-1426","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/sierras-business-startup","https://d2g8igdw686xgo.cloudfront.net/25084330_1509637490.4432.jpg","of $500 goal","$500","10","Raised by 10 people in 13 months","Updates   2","https://www.gofundme.com/sierras-business-startup#updates","Created November 2, 2017","54"
"1543711883-1139","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/music-lessons-business-start-up","https://d2g8igdw686xgo.cloudfront.net/27601466_1518123325.3406.jpg","goal","$5,000","9 months","Campaign created 9 months ago","null","","Created February 8, 2018","null"
"1543713381-1698","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/help-me-start-my-bbq-business","https://d2g8igdw686xgo.cloudfront.net/31472552_153204564884293_r.jpeg","of $2,000 goal","$1,035","22","Raised by 22 people in 4 months","Updates   2","https://www.gofundme.com/help-me-start-my-bbq-business#updates","Created July 24, 2018","98"
"1543711479-1000","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business","","https://www.gofundme.com/6g1ka20","https://d2g8igdw686xgo.cloudfront.net/34729650_1542776436715196_r.jpg","of $7,495 goal","$7,800","126","Raised by 126 people in 10 days","Updates   1","https://www.gofundme.com/6g1ka20#updates","Created November 20, 2018","670"
