web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time
"1543382756-827","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/LibrariansW-Spines","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/12491957_1466998730.2898.jpg","of $3,000 goal","$1,360","44","Raised by 44 people in 29 months"
"1543382095-818","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/jamiaca-education-trip","https://d2g8igdw686xgo.cloudfront.net/21244848_fb_1497639245.4232_funds.jpg","of $2,000 goal","$427","7","Raised by 7 people in 17 months"
"1543365895-355","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/njcqb-housing-for-columbia-university","https://d2g8igdw686xgo.cloudfront.net/21123398_1497281838.6541.jpg","of $2,460 goal","$2,685","50","Raised by 50 people in 17 months"
"1543366380-479","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/computersinkenya","","of $3,000 goal","$2,350","14","Raised by 14 people in 41 months"
"1543373504-682","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/dco0b4","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1998356_1408917045.8732.jpg","of $6,000 goal","$1,761","22","Raised by 22 people in 51 months"
"1543366566-534","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/iready","https://d2g8igdw686xgo.cloudfront.net/30707454_1529425426766866_r.jpeg","goal","$600","5 months","Campaign created 5 months ago"
"1543375006-707","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/silvi-khachatryan","https://d2g8igdw686xgo.cloudfront.net/21402898_1499697694.8433.jpg","of $8,000 goal","$500","11","Raised by 11 people in 17 months"
"1543379572-777","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/22k1ts","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/309968_1360873514.9723.jpg","of $600 goal","$600","12","Raised by 12 people in 70 months"
"1543384558-851","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/qehs3m-to-complete-my-education","https://d2g8igdw686xgo.cloudfront.net/30546332_152878049469874_r.jpeg","goal","$6,000","5 months","Campaign created 5 months ago"
"1543365668-294","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/7438ncpk","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/5873038_1441164297.1149.jpg","of $10,000 goal","$10,010","97","Raised by 97 people in 39 months"
"1543365575-272","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/calcutta-village-school-computers","https://d2g8igdw686xgo.cloudfront.net/18453948_1489257016.5647.jpg","of $4,000 goal","$2,400","11","Raised by 11 people in 20 months"
"1543367496-583","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/fulfill-my-dreams-study-abroad","https://d2g8igdw686xgo.cloudfront.net/30644592_1533741772181368_r.jpeg","goal","$6,500","5 months","Campaign created 5 months ago"
"1543365771-321","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/books2africa-kisumu","","of €5,660 goal","€700","9","Raised by 9 people in 4 months"
"1543365971-375","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/join-janpims-art-journey","https://d2g8igdw686xgo.cloudfront.net/31069342_1530731620111339_r.jpeg","of $900 goal","$900","21","Raised by 21 people in 4 months"
"1543367856-589","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/njsjn-tianas-hand-surgery","https://d2g8igdw686xgo.cloudfront.net/32824062_1536669293838989_r.jpg","raised","$25","null","null"
"1543365481-245","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/extraordinaryouth","","of $2,000 goal","$310","11","Raised by 11 people in 31 months"
