web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time
"1543372543-666","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/help-etc-open-its-doors-this-fall","https://d2g8igdw686xgo.cloudfront.net/33036666_1537196759478096_r.jpeg","of $25,000 goal","$700","2","Raised by 2 people in 2 months"
"1543378971-767","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/anchor-inc-building-fund","","of $50,000 goal","$385","13","Raised by 13 people in 24 months"
"1543384377-848","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/kevins-programming-bootcamp-fund","https://d2g8igdw686xgo.cloudfront.net/28290618_15206611460_r.jpg","goal","$5,000","8 months","Campaign created 8 months ago"
"1543383957-845","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/andrewsfundforedu","https://d2g8igdw686xgo.cloudfront.net/22036936_fb_1511853293.1273_funds.jpg","goal","$2,000","12 months","Campaign created 12 months ago"
"1543370560-633","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/support-for-abibifahodie-adesuabea","","of $476,500 goal","$135","3","Raised by 3 people in 7 months"
"1543366085-403","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/money-need-for-education","https://d2g8igdw686xgo.cloudfront.net/33599656_153948088472091_r.jpeg","goal","$3,000","1 month","Campaign created 1 month ago"
"1543365533-260","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/allergykids","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/14727985_1474677725.3796.jpg","of $2,500 goal","$1,575","21","Raised by 21 people in 26 months"
"1543369058-609","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/selfless-tichas-dream-masters","https://d2g8igdw686xgo.cloudfront.net/26459516_1514074297.6528.jpg","of $53,860 goal","$80","1","Raised by 1 person in 11 months"
"1543365951-369","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/bit-by-bit","https://d2g8igdw686xgo.cloudfront.net/18451838_15055946310_r.jpg","of $2,000 goal","$2,000","28","Raised by 28 people in 21 months"
"1543369238-612","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/garingerscience","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/3606156_1425681276.0812.jpg","of $1,750 goal","$950","6","Raised by 6 people in 45 months"
"1543379151-770","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/digitalclassroom","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/5175984_1436058704.4521.jpg","of $1,000 goal","$1,025","17","Raised by 17 people in 41 months"
"1543365932-365","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/tanafamilyscholarship2","https://d2g8igdw686xgo.cloudfront.net/30282722_15277983500_r.jpeg","of $12,000 goal","$5,700","40","Raised by 40 people in 6 months"
"1543385218-861","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/gofundmecomNeighborHOODComp","https://d2g8igdw686xgo.cloudfront.net/31954994_1533650140810560_r.jpeg","goal","$50,000","3 months","Campaign created 3 months ago"
"1543366518-516","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/masogoschool","https://d2g8igdw686xgo.cloudfront.net/27063558_1516298054.0138.png","goal","$2,400","10 months","Campaign created 10 months ago"
"1543372783-670","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/HendersonHigh","https://d2g8igdw686xgo.cloudfront.net/28393244_15210449690_r.jpeg","of $1,200 goal","$330","6","Raised by 6 people in 8 months"
"1543366173-427","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/kvwh97-higher-education-fund","https://d2g8igdw686xgo.cloudfront.net/32341316_1534932578405851_r.jpeg","goal","$27,000","3 months","Campaign created 3 months ago"
"1543369479-616","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/v7nxn-macbook","https://d2g8igdw686xgo.cloudfront.net/28588656_15217610100_r.jpeg","of $1,800 goal","$10","1","Raised by 1 person in 8 months"
"1543365900-356","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/send-godfred-to-college","https://d2g8igdw686xgo.cloudfront.net/30028876_15268631780_r.jpeg","of $3,250 goal","$545","16","Raised by 16 people in 6 months"
"1543373924-689","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/computers-to-lammermeier-foundation","","of $3,000 goal","$3,020","26","Raised by 26 people in 9 months"
"1543366481-508","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/cambodian-childrens-destinyccd","https://d2g8igdw686xgo.cloudfront.net/34392650_1543090147899232_r.jpeg","of €5,000 goal","€206","7","Raised by 7 people in 17 days"
"1543367436-582","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/chromebooksforclassroom","https://d2g8igdw686xgo.cloudfront.net/30212762_15275571360_r.jpeg","goal","$3,200","6 months","Campaign created 6 months ago"
"1543383597-840","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/3gdj0g","https://d2g8igdw686xgo.cloudfront.net/517088_1484559775.5394.jpg","of $2,000 goal","$215","4","Raised by 4 people in 65 months"
"1543366313-459","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/comp-sci-training-in-niger","https://d2g8igdw686xgo.cloudfront.net/30410096_15282616850_r.jpeg","of $5,000 goal","$450","3","Raised by 3 people in 5 months"
"1543370740-636","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/yjdy28","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/5169340_1435984856.4302.png","of $800 goal","$800","9","Raised by 9 people in 41 months"
"1543366308-457","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/ournewchapter-computers-for-school","https://d2g8igdw686xgo.cloudfront.net/30931180_1533124782124371_r.jpeg","of €4,500 goal","€50","1","Raised by 1 person in 5 months"
"1543366356-472","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/wit-conference-haiti","https://d2g8igdw686xgo.cloudfront.net/30936356_1530203619743845_r.jpeg","of $100,000 goal","$4,840","51","Raised by 51 people in 5 months"
"1543366092-405","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/a36cca-empowerment-through-education","https://d2g8igdw686xgo.cloudfront.net/33987456_154044707942894_r.jpeg","goal","$1,500","1 month","Campaign created 1 month ago"
"1543383056-832","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/computersforvieques","https://d2g8igdw686xgo.cloudfront.net/30306698_15278859660_r.jpeg","goal","$10,000","5 months","Campaign created 5 months ago"
"1543386180-877","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/dianalee-shanghai","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/15503877_1477197332.4912.jpg","of $9,000 goal","$2,310","45","Raised by 45 people in 25 months"
"1543366144-420","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/3u3th-education-funding","https://d2g8igdw686xgo.cloudfront.net/32246600_1534609210140502_r.jpeg","of $6,000 goal","$100","1","Raised by 1 person in 3 months"
"1543366406-487","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/fwjck-help-my-son-please","https://d2g8igdw686xgo.cloudfront.net/30325620_153357100428760_r.jpg","of $3,703 goal","$3,780","40","Raised by 40 people in 5 months"
"1543366535-523","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/rbxg2k","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/4090651_fb_1428509146.3065_funds.jpg","of £2,500 goal","£680","21","Raised by 21 people in 44 months"
"1543366400-485","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/annebeers","https://d2g8igdw686xgo.cloudfront.net/20190290_1494090802.5683.jpg","of $30,000 goal","$5,712","108","Raised by 108 people in 19 months"
"1543367676-586","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/art-against-poverty-campaign","https://d2g8igdw686xgo.cloudfront.net/32215970_1534502307213149_r.jpeg","goal","kr100,000","3 months","Campaign created 3 months ago"
"1543365994-381","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/dashboard-anjireddy-badams-medical-fund-share-editlink-menu","https://d2g8igdw686xgo.cloudfront.net/24926952_1508987208.1478.jpeg","of $100,000 goal","$33,416","999","Raised by 999 people in 13 months"
"1543365501-251","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/macbook-for-education-needs","https://d2g8igdw686xgo.cloudfront.net/27157804_1516636403.2226.jpg","of $1,500 goal","$310","3","Raised by 3 people in 10 months"
"1543366136-418","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/9jdw8z-help-continue-my-college-education","https://d2g8igdw686xgo.cloudfront.net/32088402_1534608427585992_r.jpg","goal","$10,000","3 months","Campaign created 3 months ago"
"1543365613-283","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/jewish-school-vandalized","https://d2g8igdw686xgo.cloudfront.net/34276106_1541515978831639_r.jpeg","of $18,000 goal","$191","4","Raised by 4 people in 21 days"
"1543372002-657","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/tibetanstudents","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/3810786_1426897503.6201.jpg","of $49,798 goal","$5,643","22","Raised by 22 people in 44 months"
"1543365834-339","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/rebuildnca","","of $25,000 goal","$230","7","Raised by 7 people in 10 months"
"1543370440-631","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/orphans-in-kenya","","of $2,800 goal","$1,295","16","Raised by 16 people in 71 months"
"1543368517-600","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/computers-for-classrooms","https://d2g8igdw686xgo.cloudfront.net/32452096_1535570987559553_r.jpeg","of $10,000 goal","$350","3","Raised by 3 people in 3 months"
"1543377229-743","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/update-computer-labs","https://d2g8igdw686xgo.cloudfront.net/34556902_1542308590789347_r.jpeg","goal","$50,000","12 days","Campaign created 12 days ago"
"1543366064-398","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/ung-college-education","https://d2g8igdw686xgo.cloudfront.net/30851364_152993656198016_r.jpeg","goal","$8,000","5 months","Campaign created 5 months ago"
"1543366646-566","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/6aiv5go","https://d2g8igdw686xgo.cloudfront.net/33903570_1540133633445702_r.jpg","goal","$10,000","1 month","Campaign created 1 month ago"
"1543381134-802","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/harvest-for-the-world-foundation","https://d2g8igdw686xgo.cloudfront.net/32637720_1536459522481220_r.jpeg","of $10,000 goal","$150","3","Raised by 3 people in 2 months"
"1543365458-239","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/computer-literacy-for-guinean-girls","","of $3,900 goal","$4,169","57","Raised by 57 people in 2 months"
"1543376508-732","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/lps-computers","https://d2g8igdw686xgo.cloudfront.net/26088578_1513114341.2012.png","of $5,000 goal","$1,245","23","Raised by 23 people in 11 months"
"1543382395-821","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/school-computer-and-work-station","https://d2g8igdw686xgo.cloudfront.net/32943604_1536866052822447_r.jpeg","goal","$1,600","2 months","Campaign created 2 months ago"
"1543366542-526","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/marianas-college-education","https://d2g8igdw686xgo.cloudfront.net/20645794_1495671922.5502.jpg","of $12,000 goal","$1,850","12","Raised by 12 people in 18 months"
"1543371341-646","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/2n4c8kbc","https://d2g8igdw686xgo.cloudfront.net/14236575_15051558680_r.jpg","of $2,500 goal","$190","8","Raised by 8 people in 27 months"
"1543366452-496","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/build-it-cenre-for-youth-in-timor","https://d2g8igdw686xgo.cloudfront.net/25531922_1511248270.3276.png","of $35,000 goal","$730","10","Raised by 10 people in 12 months"
"1543366099-407","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/everyone-deserve-right-to-education","https://d2g8igdw686xgo.cloudfront.net/34320384_1541632741565067_r.jpeg","goal","$15,000","20 days","Campaign created 20 days ago"
"1543382035-817","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/5a1ixaw","https://d2g8igdw686xgo.cloudfront.net/28443406_15212307080_r.jpg","of $250,000 goal","$175","5","Raised by 5 people in 8 months"
"1543382635-825","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/yhscs","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/9984603_1460654766.2.jpg","of $560 goal","$560","10","Raised by 10 people in 32 months"
"1543365558-267","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/our-own-dreamer-prayforjuan","https://d2g8igdw686xgo.cloudfront.net/30901168_1530076721760312_r.jpeg","of $8,000 goal","$1,220","12","Raised by 12 people in 5 months"
"1543366339-467","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/ao42x4","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1596938_1403626525.8452.jpg","of $3,000 goal","$200","3","Raised by 3 people in 53 months"
"1543375126-709","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/computer-class-in-south-afirica","https://d2g8igdw686xgo.cloudfront.net/32739112_1536233880307861_r.jpeg","of €48,000 goal","€340","9","Raised by 9 people in 2 months"
"1543366550-528","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/eriks-accessible-mouse","https://d2g8igdw686xgo.cloudfront.net/16569366_1513908796.3406.jpg","of $2,000 goal","$675","6","Raised by 6 people in 11 months"
"1543365968-374","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/reliefrobotics","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/4538754_1433831594.2986.jpg","of $6,850 goal","$6,305","87","Raised by 87 people in 43 months"
"1543371101-642","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/GAHAcademy","","of $50,000 goal","$225","6","Raised by 6 people in 30 months"
"1543366157-424","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/amy039s-volunteering-in-ruaha-tanzania","https://d2g8igdw686xgo.cloudfront.net/34701542_1542710037431655_r.jpeg","of €1,200 goal","€265","6","Raised by 6 people in 7 days"
"1543372122-659","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/2hnqfhw","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/13419193_1470159530.232.jpg","of $16,000 goal","$1,080","9","Raised by 9 people in 28 months"
"1543374946-706","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/3d-printer-for-bhms-eampt-lab","","of $3,200 goal","$657","16","Raised by 16 people in 4 months"
"1543365498-250","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/25za853w","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/11613883_1463971102.1568.jpg","of $3,000 goal","$2,055","14","Raised by 14 people in 30 months"
"1543365447-236","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/75yows","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1072475_1393471366.8297.jpg","of $9,930 goal","$10,145","39","Raised by 39 people in 57 months"
"1543367977-591","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/ChristinesClassroom","https://d2g8igdw686xgo.cloudfront.net/18414016_1487787458.5397.jpg","of $10,000 goal","$500","1","Raised by 1 person in 21 months"
"1543371161-643","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/TGOEducation","","of $11,200 goal","$305","7","Raised by 7 people in 64 months"
"1543365799-329","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/programadestino","","of $15,000 goal","$2,835","21","Raised by 21 people in 48 months"
"1543366333-465","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/hm6oc","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/73239_1339791581.749.jpg","of $2,600 goal","$685","8","Raised by 8 people in 81 months"
"1543385459-865","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/crowd-scholarship-for-good","https://d2g8igdw686xgo.cloudfront.net/30924018_1531805910669561_r.jpeg","raised","$5,000","null","null"
"1543366164-426","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/robotics-and-computer-science","https://d2g8igdw686xgo.cloudfront.net/30410452_15282641260_r.jpeg","of $25,000 goal","$20","1","Raised by 1 person in 5 months"
"1543385759-870","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/mcgp3-my-first-pc-build","https://d2g8igdw686xgo.cloudfront.net/27012580_15161963320_r.jpg","of $1,455 goal","$115","4","Raised by 4 people in 10 months"
"1543365876-350","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/3b5wmy0","https://d2g8igdw686xgo.cloudfront.net/17835138_1515008207.9423.jpg","goal","$100","10 months","Campaign created 10 months ago"
"1543381855-814","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/renancalifornia","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/80692_1345151228.4421.jpg","of $4,000 goal","$280","10","Raised by 10 people in 80 months"
"1543377889-750","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/i039m-from-egypt-struggling-to-pay","","goal","$3,500","1 month","Campaign created 1 month ago"
"1543365721-308","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/chibok-survivors-education-fund","https://d2g8igdw686xgo.cloudfront.net/33497744_1539202977728967_r.jpeg","of $45,000 goal","$2,730","25","Raised by 25 people in 1 month"
"1543369118-610","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/duh68k","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/2072401_1409531943.5954.jpg","of $6,816 goal","$235","4","Raised by 4 people in 51 months"
"1543366030-389","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/help-ani-to-get-education-in-paris","https://d2g8igdw686xgo.cloudfront.net/30879406_1530024536676117_r.jpeg","goal","$1,000","5 months","Campaign created 5 months ago"
"1543366089-404","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/my-mission-for-a-college-education","","goal","$30,000","1 month","Campaign created 1 month ago"
"1543366596-547","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/t7pqsw-trying-to-continue-my-education","https://d2g8igdw686xgo.cloudfront.net/34540850_1542259396649269_r.jpeg","of $8,000 goal","$305","6","Raised by 6 people in 12 days"
"1543384798-855","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/35pfth-trying-to-get-back-in-college","https://d2g8igdw686xgo.cloudfront.net/31883106_1533399486232927_r.jpeg","goal","$8,000","3 months","Campaign created 3 months ago"
"1543375366-713","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/chromebooks-for-personal-learning","https://d2g8igdw686xgo.cloudfront.net/24253246_1507757480.4758.jpg","of $2,000 goal","$1,311","18","Raised by 18 people in 13 months"
"1543366369-476","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/tundc6dh","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/8906697_1454803754.5549.png","of $1,000 goal","$895","22","Raised by 22 people in 34 months"
"1543366403-486","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/sean039s-business-dream-needs-you","https://d2g8igdw686xgo.cloudfront.net/32000862_1533776549991364_r.jpeg","of $10,000 goal","$3,385","90","Raised by 90 people in 3 months"
"1543367256-579","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/METC-start-up-cost","","goal","$9,000","7 months","Campaign created 7 months ago"
"1543366252-441","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/kingblackwa","https://d2g8igdw686xgo.cloudfront.net/21970550_1499023676.2755.jpg","of £4,000 goal","£200","5","Raised by 5 people in 17 months"
"1543377829-749","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/women039s-nutrition","https://d2g8igdw686xgo.cloudfront.net/33495680_1538695028263752_r.jpeg","goal","$200","1 month","Campaign created 1 month ago"
"1543384618-852","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/6ps47s-dreams-of-success","https://d2g8igdw686xgo.cloudfront.net/30691538_1529361118139387_r.jpeg","goal","$10,000","5 months","Campaign created 5 months ago"
"1543381795-813","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/2fucg4s","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/13147343_fb_1469199955.6889_funds.jpg","of $2,000 goal","$490","9","Raised by 9 people in 28 months"
"1543382936-830","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/a-laptop-to-attempt-going-to-school","https://d2g8igdw686xgo.cloudfront.net/27920404_fb_1519277944.3177_funds.jpg","goal","$2,000","9 months","Campaign created 9 months ago"
"1543373804-687","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/2ybzx3m4","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/11073767_1462146011.3687.jpg","of $3,000 goal","$775","19","Raised by 19 people in 31 months"
"1543376027-724","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/help-me-teach-untouchable-children","https://d2g8igdw686xgo.cloudfront.net/28960242_15231833670_r.jpeg","of £2,250 goal","£2,295","57","Raised by 57 people in 7 months"
"1543372483-665","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/chromebooks_5","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/6229587_1459523971.0695.jpg","of $5,000 goal","$5,122","18","Raised by 18 people in 38 months"
"1543366448-494","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/tfb7y-going-back-to-school","https://d2g8igdw686xgo.cloudfront.net/22008300_fb_1499175499.2215_funds.jpg","goal","$700","17 months","Campaign created 17 months ago"
"1543374886-705","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/life-as-a-designer","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/16258216_14816959580_r.jpg","of $2,500 goal","$670","11","Raised by 11 people in 24 months"
"1543365923-363","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/5k1qnig","https://d2g8igdw686xgo.cloudfront.net/29940986_15265241130_r.jpg","of $500 goal","$225","8","Raised by 8 people in 6 months"
"1543366034-390","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/fund-for-my-postgraduate-education","https://d2g8igdw686xgo.cloudfront.net/30880904_1530027349517709_r.jpeg","goal","€13,786","5 months","Campaign created 5 months ago"
"1543384678-853","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/employment-for-lives-that-matter","https://d2g8igdw686xgo.cloudfront.net/31172896_1531154463331675_r.jpeg","goal","$100,000","4 months","Campaign created 4 months ago"
"1543374405-697","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/river-of-pride039s-new-office","https://d2g8igdw686xgo.cloudfront.net/29184170_15239110290_r.jpeg","of $1,000 goal","$985","15","Raised by 15 people in 4 months"
